categories_loading	Kategorien werden geladen…	Chargement des catégories…	Caricamento categorie…	A carregar categorias…	Kategoriler yükleniyor…	Ładowanie kategorii…	جارٍ تحميل الفئات…
library_opening	Bibliothek wird geöffnet…	Ouverture de la bibliothèque…	Apertura libreria…	A abrir biblioteca…	Kitaplık açılıyor…	Otwieranie biblioteki…	جارٍ فتح المكتبة…
results	Ergebnisse	résultats	risultati	resultados	sonuç	wyników	نتائج
loaded	geladen	chargés	caricati	carregados	yüklendi	wczytano	تم التحميل
categories	Kategorien	catégories	categorie	categorias	kategori	kategorie	فئات
fully_scrollable	vollständig scrollbar	défilement complet	scorrimento completo	totalmente percorrível	tam kaydırılabilir	pełne przewijanie	قابل للتمرير بالكامل
no_categories	Keine Kategorien verfügbar	Aucune catégorie disponible	Nessuna categoria disponibile	Nenhuma categoria disponível	Kategori yok	Brak dostępnych kategorii	لا توجد فئات متاحة
no_results	Keine Ergebnisse	Aucun résultat	Nessun risultato	Sem resultados	Sonuç yok	Brak wyników	لا توجد نتائج
searching	Suche…	Recherche…	Ricerca…	A pesquisar…	Aranıyor…	Wyszukiwanie…	جارٍ البحث…
type_2	Mindestens 2 Zeichen eingeben	Saisissez au moins 2 caractères	Digita almeno 2 caratteri	Escreva pelo menos 2 caracteres	En az 2 karakter yazın	Wpisz co najmniej 2 znaki	اكتب حرفين على الأقل
stability	Stabilitätswiederherstellung aktiv	Récupération de stabilité active	Ripristino stabilità attivo	Recuperação de estabilidade ativa	Kararlılık kurtarma etkin	Odzyskiwanie stabilności aktywne	استعادة الاستقرار مفعلة
previous_error	vorheriger Fehler	erreur précédente	errore precedente	erro anterior	önceki hata	poprzedni błąd	الخطأ السابق
watch_without_search	Ansehen ohne zu suchen	Regarder sans rechercher	Guarda senza cercare	Ver sem pesquisar	Aramadan izle	Oglądaj bez wyszukiwania	شاهد بدون بحث
one_place	Live-TV, Filme und Serien an einem Ort	TV en direct, films et séries au même endroit	TV in diretta, film e serie in un unico posto	TV ao vivo, filmes e séries num só lugar	Canlı TV, film ve diziler tek yerde	TV na żywo, filmy i seriale w jednym miejscu	التلفاز المباشر والأفلام والمسلسلات في مكان واحد
welcome	Willkommen bei Nivaro	Bienvenue sur Nivaro	Benvenuto in Nivaro	Bem-vindo ao Nivaro	Nivaro'ya hoş geldiniz	Witamy w Nivaro	مرحباً بك في Nivaro
settings	Einstellungen	Réglages	Impostazioni	Definições	Ayarlar	Ustawienia	الإعدادات
close	Schließen	Fermer	Chiudi	Fechar	Kapat	Zamknij	إغلاق
language	Sprache	Langue	Lingua	Idioma	Dil	Język	اللغة
app_language	App-Sprache	Langue de l’application	Lingua app	Idioma da aplicação	Uygulama dili	Język aplikacji	لغة التطبيق
auto_device	Automatisch (Gerät)	Automatique (appareil)	Automatico (dispositivo)	Automático (dispositivo)	Otomatik (cihaz)	Automatycznie (urządzenie)	تلقائي (الجهاز)
language_help	Die gewählte Sprache wird für die Oberfläche, Sprachnamen sowie automatische Audio- und Untertiteleinstellungen verwendet.	La langue choisie est utilisée pour l’interface, les noms des langues et les préférences audio/sous-titres automatiques.	La lingua scelta viene usata per l’interfaccia, i nomi delle lingue e le preferenze automatiche di audio e sottotitoli.	O idioma escolhido é usado na interface, nos nomes dos idiomas e nas preferências automáticas de áudio/legendas.	Seçilen dil arayüz, dil adları ve otomatik ses/altyazı tercihleri için kullanılır.	Wybrany język jest używany w interfejsie, nazwach języków oraz automatycznych preferencjach audio i napisów.	تُستخدم اللغة المحددة للواجهة وأسماء اللغات وتفضيلات الصوت والترجمة التلقائية.
general	Allgemein	Général	Generale	Geral	Genel	Ogólne	عام
compact	Kompakte Mobilansicht	Vue mobile compacte	Vista mobile compatta	Vista móvel compacta	Kompakt mobil görünüm	Kompaktowy widok mobilny	عرض جوال مضغوط
hero_size	Größe des Titelbereichs	Taille de la bannière	Dimensione banner	Tamanho do destaque	Öne çıkan alan boyutu	Rozmiar banera	حجم الواجهة البارزة
small	Klein	Petit	Piccolo	Pequeno	Küçük	Mały	صغير
normal	Normal	Normal	Normale	Normal	Normal	Normalny	عادي
large	Groß	Grand	Grande	Grande	Büyük	Duży	كبير
start_screen	Startbildschirm	Écran de démarrage	Schermata iniziale	Ecrã inicial	Başlangıç ekranı	Ekran startowy	شاشة البدء
last_tab	Letzter Tab	Dernier onglet	Ultima scheda	Último separador	Son sekme	Ostatnia karta	آخر علامة تبويب
default_sort	Standardsortierung	Tri par défaut	Ordinamento predefinito	Ordenação predefinida	Varsayılan sıralama	Domyślne sortowanie	الترتيب الافتراضي
provider	Anbieter	Fournisseur	Fornitore	Fornecedor	Sağlayıcı	Dostawca	المزوّد
favorites_first	Favoriten zuerst	Favoris en premier	Preferiti prima	Favoritos primeiro	Favoriler önce	Ulubione najpierw	المفضلة أولاً
recent_first	Neueste zuerst	Récents en premier	Recenti prima	Recentes primeiro	En yeniler önce	Najnowsze najpierw	الأحدث أولاً
parental	Kindersicherung	Contrôle parental	Controllo parentale	Controlo parental	Ebeveyn denetimi	Kontrola rodzicielska	الرقابة الأبوية
hide_adult	18+-Kategorien ausblenden	Masquer les catégories 18+	Nascondi categorie 18+	Ocultar categorias 18+	18+ kategorilerini gizle	Ukryj kategorie 18+	إخفاء فئات +18
pin_change	PIN ändern	Modifier le PIN	Cambia PIN	Alterar PIN	PIN değiştir	Zmień PIN	تغيير PIN
pin_set	PIN festlegen	Définir le PIN	Imposta PIN	Definir PIN	PIN ayarla	Ustaw PIN	تعيين PIN
playback	Wiedergabe	Lecture	Riproduzione	Reprodução	Oynatma	Odtwarzanie	التشغيل
player	Player	Lecteur	Lettore	Leitor	Oynatıcı	Odtwarzacz	المشغّل
automatic	Automatisch	Automatique	Automatico	Automático	Otomatik	Automatycznie	تلقائي
buffer	Puffer	Tampon	Buffer	Buffer	Arabellek	Bufor	التخزين المؤقت
fast	Schnell	Rapide	Veloce	Rápido	Hızlı	Szybki	سريع
stable	Stabil	Stable	Stabile	Estável	Kararlı	Stabilny	مستقر
maximum	Maximum	Maximum	Massimo	Máximo	Maksimum	Maksymalny	أقصى
audio_pref	Bevorzugte Audiosprache	Audio préféré	Audio preferito	Áudio preferido	Tercih edilen ses	Preferowany dźwięk	الصوت المفضل
original	Original	Original	Originale	Original	Orijinal	Oryginalny	الأصلي
subtitle_pref	Bevorzugte Untertitel	Sous-titres préférés	Sottotitoli preferiti	Legendas preferidas	Tercih edilen altyazı	Preferowane napisy	الترجمة المفضلة
off	Aus	Désactivé	Disattivato	Desligado	Kapalı	Wyłączone	إيقاف
autoplay	Nächste Episode automatisch abspielen	Lire automatiquement l’épisode suivant	Riproduci automaticamente l’episodio successivo	Reproduzir automaticamente o episódio seguinte	Sonraki bölümü otomatik oynat	Automatycznie odtwórz następny odcinek	تشغيل الحلقة التالية تلقائياً
maintenance	Wartung	Maintenance	Manutenzione	Manutenção	Bakım	Konserwacja	الصيانة
reindex	Suchindex neu aufbauen	Reconstruire l’index de recherche	Ricostruisci indice di ricerca	Reconstruir índice de pesquisa	Arama dizinini yeniden oluştur	Przebuduj indeks wyszukiwania	إعادة بناء فهرس البحث
clear_cache	Bildcache leeren	Vider le cache des images	Svuota cache immagini	Limpar cache de imagens	Görsel önbelleğini temizle	Wyczyść pamięć obrazów	مسح ذاكرة الصور المؤقتة
about	Über Nivaro	À propos de Nivaro	Informazioni su Nivaro	Sobre o Nivaro	Nivaro hakkında	O Nivaro	حول Nivaro
empty_home	Noch nichts angesehen. Öffne Filme, Serien oder Live, um zu beginnen.	Rien n’a encore été regardé. Ouvrez Films, Séries ou Direct pour commencer.	Non hai ancora guardato nulla. Apri Film, Serie o Live per iniziare.	Ainda não viu nada. Abra Filmes, Séries ou Ao vivo para começar.	Henüz bir şey izlemediniz. Başlamak için Filmler, Diziler veya Canlı'yı açın.	Nic jeszcze nie oglądano. Otwórz Filmy, Seriale lub Na żywo, aby zacząć.	لم تتم مشاهدة شيء بعد. افتح الأفلام أو المسلسلات أو البث المباشر للبدء.
all_live_sub	Alle Sender · kompakt und schnell scrollbar	Toutes les chaînes · défilement compact et rapide	Tutti i canali · scorrimento compatto e veloce	Todos os canais · navegação compacta e rápida	Tüm kanallar · kompakt ve hızlı kaydırma	Wszystkie kanały · kompaktowe i szybkie przewijanie	كل القنوات · تمرير سريع ومضغوط
all_movies_sub	Alle Filme · Poster werden nur bei Sichtbarkeit geladen	Tous les films · les affiches se chargent seulement quand elles sont visibles	Tutti i film · le locandine si caricano solo quando visibili	Todos os filmes · os cartazes só carregam quando visíveis	Tüm filmler · posterler yalnızca görünürken yüklenir	Wszystkie filmy · plakaty ładują się tylko, gdy są widoczne	كل الأفلام · تُحمّل الملصقات فقط عند ظهورها
all_series_sub	Alle Serien · Poster werden nur bei Sichtbarkeit geladen	Toutes les séries · les affiches se chargent seulement quand elles sont visibles	Tutte le serie · le locandine si caricano solo quando visibili	Todas as séries · os cartazes só carregam quando visíveis	Tüm diziler · posterler yalnızca görünürken yüklenir	Wszystkie seriale · plakaty ładują się tylko, gdy są widoczne	كل المسلسلات · تُحمّل الملصقات فقط عند ظهورها
hidden_adult	18+ ausgeblendet	18+ masqué	18+ nascosto	18+ oculto	18+ gizli	18+ ukryte	تم إخفاء +18
for_you_loading	Für dich wird geladen…	Chargement pour vous…	Caricamento per te…	A carregar para si…	Sizin için yükleniyor…	Ładowanie dla Ciebie…	جارٍ التحميل لك…
recommend_failed	Empfehlungen konnten nicht geladen werden	Impossible de charger les recommandations	Impossibile caricare i consigli	Não foi possível carregar recomendações	Öneriler yüklenemedi	Nie udało się wczytać rekomendacji	تعذر تحميل التوصيات
no_recommendations	Noch keine Empfehlungen. Wähle oben eine Kategorie oder ein Genre.	Pas encore de recommandations. Choisissez une catégorie ou un genre ci-dessus.	Nessun consiglio per ora. Scegli una categoria o un genere qui sopra.	Ainda não há recomendações. Escolha uma categoria ou género acima.	Henüz öneri yok. Yukarıdan bir kategori veya tür seçin.	Brak rekomendacji. Wybierz kategorię lub gatunek powyżej.	لا توجد توصيات بعد. اختر فئة أو نوعاً أعلاه.
choose_genre	Genre auswählen	Choisir un genre	Scegli genere	Escolher género	Tür seç	Wybierz gatunek	اختر النوع
choose_genre_stop	Genre auswählen · Das Laden von „Alle“ stoppt nach deiner Auswahl	Choisir un genre · le chargement de « Tout » s’arrête après votre choix	Scegli genere · il caricamento di Tutto si ferma dopo la scelta	Escolher género · o carregamento de Tudo pára após a escolha	Tür seç · seçimden sonra Tümü yüklemesi durur	Wybierz gatunek · ładowanie Wszystko zatrzyma się po wyborze	اختر النوع · يتوقف تحميل الكل بعد اختيارك
no_genre_category	Dein Anbieter hat keine eigene Kategorie für	Votre fournisseur n’a pas de catégorie distincte pour	Il tuo fornitore non ha una categoria separata per	O seu fornecedor não tem uma categoria separada para	Sağlayıcınızda ayrı bir kategori yok:	Twój dostawca nie ma osobnej kategorii dla	لا توجد لدى مزودك فئة منفصلة لـ
genre_loading	Genre wird geladen	Chargement du genre	Caricamento genere	A carregar género	Tür yükleniyor	Ładowanie gatunku	جارٍ تحميل النوع
titles	Titel	titres	titoli	títulos	başlık	pozycji	عناوين
genre_failed	Genre konnte nicht geladen werden	Impossible de charger le genre	Impossibile caricare il genere	Não foi possível carregar o género	Tür yüklenemedi	Nie udało się wczytać gatunku	تعذر تحميل النوع
now_next	Jetzt & danach · Sender antippen, um direkt anzusehen	Maintenant et ensuite · touchez une chaîne pour regarder directement	Ora e dopo · tocca un canale per guardare subito	Agora e a seguir · toque num canal para ver diretamente	Şimdi ve sonra · doğrudan izlemek için kanala dokunun	Teraz i dalej · dotknij kanału, aby oglądać od razu	الآن والتالي · اضغط على قناة للمشاهدة مباشرة
epg_categories_loading	TV-Programm-Kategorien werden geladen…	Chargement des catégories du guide TV…	Caricamento categorie guida TV…	A carregar categorias do guia TV…	TV rehberi kategorileri yükleniyor…	Ładowanie kategorii programu TV…	جارٍ تحميل فئات دليل التلفاز…
no_live_categories	Keine Live-Kategorien verfügbar	Aucune catégorie de direct disponible	Nessuna categoria live disponibile	Nenhuma categoria ao vivo disponível	Canlı kategori yok	Brak kategorii na żywo	لا توجد فئات بث مباشر
channels_loading	Sender werden geladen…	Chargement des chaînes…	Caricamento canali…	A carregar canais…	Kanallar yükleniyor…	Ładowanie kanałów…	جارٍ تحميل القنوات…
channels	Sender	chaînes	canali	canais	kanal	kanałów	قنوات
visible_epg	TV-Programm wird nur für sichtbare Sender geladen	Le guide TV se charge uniquement pour les chaînes visibles	La guida TV si carica solo per i canali visibili	O guia TV carrega apenas para canais visíveis	TV rehberi yalnızca görünen kanallar için yüklenir	Program TV ładuje się tylko dla widocznych kanałów	يُحمّل دليل التلفاز للقنوات الظاهرة فقط
guide_loading	Programmführer wird geladen…	Chargement du programme TV…	Caricamento guida programmi…	A carregar guia de programas…	Program rehberi yükleniyor…	Ładowanie przewodnika TV…	جارٍ تحميل دليل البرامج…
no_epg	Kein TV-Programm verfügbar.	Aucun guide TV disponible.	Nessuna guida TV disponibile.	Nenhum guia TV disponível.	TV rehberi yok.	Brak programu TV.	لا يتوفر دليل تلفاز.
watch	Ansehen	Regarder	Guarda	Ver	İzle	Oglądaj	مشاهدة
now	JETZT	MAINTENANT	ORA	AGORA	ŞİMDİ	TERAZ	الآن
index_building	Der Suchindex wird im Hintergrund aufgebaut…	L’index de recherche est construit discrètement en arrière-plan…	L’indice di ricerca viene creato in background…	O índice de pesquisa está a ser criado em segundo plano…	Arama dizini arka planda oluşturuluyor…	Indeks wyszukiwania jest tworzony w tle…	جارٍ إنشاء فهرس البحث في الخلفية…
no_results_for	Keine Ergebnisse für	Aucun résultat pour	Nessun risultato per	Sem resultados para	Sonuç yok:	Brak wyników dla	لا نتائج لـ
local_index	lokaler Suchindex	index de recherche local	indice di ricerca locale	índice de pesquisa local	yerel arama dizini	lokalny indeks wyszukiwania	فهرس البحث المحلي
local_search_failed	Lokale Suche fehlgeschlagen	La recherche locale a échoué	Ricerca locale non riuscita	A pesquisa local falhou	Yerel arama başarısız	Wyszukiwanie lokalne nie powiodło się	فشل البحث المحلي
tap_preview	Titel antippen für große Vorschau	Touchez un titre pour un grand aperçu	Tocca un titolo per l’anteprima grande	Toque num título para uma pré-visualização grande	Büyük önizleme için bir başlığa dokunun	Dotknij tytułu, aby zobaczyć duży podgląd	اضغط على عنوان لمعاينة كبيرة
episodes_loading	Episoden werden geladen…	Chargement des épisodes…	Caricamento episodi…	A carregar episódios…	Bölümler yükleniyor…	Ładowanie odcinków…	جارٍ تحميل الحلقات…
next_episode	Nächste Episode	Épisode suivant	Episodio successivo	Episódio seguinte	Sonraki bölüm	Następny odcinek	الحلقة التالية
no_episodes	Keine Episoden gefunden	Aucun épisode trouvé	Nessun episodio trovato	Nenhum episódio encontrado	Bölüm bulunamadı	Nie znaleziono odcinków	لم يتم العثور على حلقات
series_error	Serienfehler	Erreur de série	Errore serie	Erro de série	Dizi hatası	Błąd serialu	خطأ في المسلسل
info_loading	Informationen werden geladen…	Chargement des informations…	Caricamento informazioni…	A carregar informações…	Bilgi yükleniyor…	Ładowanie informacji…	جارٍ تحميل المعلومات…
info_failed	Informationen konnten nicht geladen werden	Impossible de charger les informations	Impossibile caricare le informazioni	Não foi possível carregar as informações	Bilgi yüklenemedi	Nie udało się wczytać informacji	تعذر تحميل المعلومات
year	Jahr	Année	Anno	Ano	Yıl	Rok	السنة
duration	Dauer	Durée	Durata	Duração	Süre	Czas trwania	المدة
director	Regie	Réalisateur	Regista	Realizador	Yönetmen	Reżyser	المخرج
cast	Besetzung	Distribution	Cast	Elenco	Oyuncular	Obsada	طاقم التمثيل
description	Beschreibung	Description	Descrizione	Descrição	Açıklama	Opis	الوصف
remove_favorite	Aus Favoriten entfernen	Retirer des favoris	Rimuovi dai preferiti	Remover dos favoritos	Favorilerden kaldır	Usuń z ulubionych	إزالة من المفضلة
add_favorite	Zu Favoriten hinzufügen	Ajouter aux favoris	Aggiungi ai preferiti	Adicionar aos favoritos	Favorilere ekle	Dodaj do ulubionych	إضافة إلى المفضلة
full_guide	Vollständiges TV-Programm	Guide TV complet	Guida TV completa	Guia TV completo	Tam TV rehberi	Pełny program TV	دليل التلفاز الكامل
clear_progress	Wiedergabefortschritt löschen	Effacer la progression de lecture	Cancella avanzamento visione	Limpar progresso de visualização	İzleme ilerlemesini temizle	Wyczyść postęp oglądania	مسح تقدم المشاهدة
progress_cleared	Wiedergabefortschritt gelöscht	Progression de lecture effacée	Avanzamento visione cancellato	Progresso de visualização limpo	İzleme ilerlemesi temizlendi	Postęp oglądania wyczyszczony	تم مسح تقدم المشاهدة
sorting_applied_after	wird nach Abschluss des Ladens angewendet	sera appliqué à la fin du chargement	verrà applicato al termine del caricamento	será aplicado quando o carregamento terminar	yükleme bitince uygulanacak	zostanie zastosowane po zakończeniu ładowania	سيُطبّق بعد انتهاء التحميل
sorting	Sortieren…	Tri…	Ordinamento…	A ordenar…	Sıralanıyor…	Sortowanie…	جارٍ الترتيب…
unknown_error	unbekannter Fehler	erreur inconnue	errore sconosciuto	erro desconhecido	bilinmeyen hata	nieznany błąd	خطأ غير معروف
login_failed	Benutzername, Passwort oder Server wurden nicht akzeptiert	Nom d’utilisateur, mot de passe ou serveur refusé	Nome utente, password o server non accettati	Nome de utilizador, palavra-passe ou servidor não aceites	Kullanıcı adı, parola veya sunucu kabul edilmedi	Nazwa użytkownika, hasło lub serwer nie zostały zaakceptowane	لم يتم قبول اسم المستخدم أو كلمة المرور أو الخادم
low_memory	nicht genügend freier Speicher	mémoire libre insuffisante	memoria libera insufficiente	memória livre insuficiente	yeterli boş bellek yok	za mało wolnej pamięci	لا توجد ذاكرة حرة كافية
cancel	Abbrechen	Annuler	Annulla	Cancelar	İptal	Anuluj	إلغاء
save	Speichern	Enregistrer	Salva	Guardar	Kaydet	Zapisz	حفظ
unlock	Entsperren	Déverrouiller	Sblocca	Desbloquear	Kilidi aç	Odblokuj	فتح القفل
wrong_pin	Falsche PIN	PIN incorrect	PIN errato	PIN incorreto	Yanlış PIN	Nieprawidłowy PIN	PIN غير صحيح
pin_saved	PIN gespeichert	PIN enregistré	PIN salvato	PIN guardado	PIN kaydedildi	PIN zapisany	تم حفظ PIN
pin_digits	4–8 Ziffern	4 à 8 chiffres	4–8 cifre	4–8 dígitos	4–8 rakam	4–8 cyfr	4–8 أرقام
parental_pin	PIN der Kindersicherung	PIN du contrôle parental	PIN controllo parentale	PIN do controlo parental	Ebeveyn denetimi PIN'i	PIN kontroli rodzicielskiej	PIN الرقابة الأبوية
pin_help	Verwende 4 bis 8 Ziffern. Diese PIN schützt ausgeblendete 18+-Kategorien.	Utilisez 4 à 8 chiffres. Ce PIN protège les catégories 18+ masquées.	Usa da 4 a 8 cifre. Questo PIN protegge le categorie 18+ nascoste.	Use 4 a 8 dígitos. Este PIN protege as categorias 18+ ocultas.	4–8 rakam kullanın. Bu PIN gizli 18+ kategorilerini korur.	Użyj 4–8 cyfr. Ten PIN chroni ukryte kategorie 18+.	استخدم من 4 إلى 8 أرقام. يحمي هذا PIN فئات +18 المخفية.
adult_unlock	18+ vorübergehend entsperren	Déverrouiller temporairement le 18+	Sblocca temporaneamente 18+	Desbloquear temporariamente 18+	18+ geçici olarak kilidini aç	Tymczasowo odblokuj 18+	فتح +18 مؤقتاً
adult_unlocked	18+ ist für diese Sitzung entsperrt	18+ est déverrouillé pour cette session	18+ è sbloccato per questa sessione	18+ está desbloqueado nesta sessão	18+ bu oturum için açık	18+ odblokowane w tej sesji	تم فتح +18 لهذه الجلسة
parental_off	Kindersicherung ist ausgeschaltet	Le contrôle parental est désactivé	Il controllo parentale è disattivato	O controlo parental está desligado	Ebeveyn denetimi kapalı	Kontrola rodzicielska jest wyłączona	الرقابة الأبوية متوقفة
unlocked_until_close	Entsperrt, bis die App geschlossen wird	Déverrouillé jusqu’à la fermeture de l’application	Sbloccato fino alla chiusura dell’app	Desbloqueado até a aplicação ser fechada	Uygulama kapanana kadar açık	Odblokowane do zamknięcia aplikacji	مفتوح حتى إغلاق التطبيق
cache_cleared	Cache geleert	Cache vidé	Cache svuotata	Cache limpa	Önbellek temizlendi	Pamięć podręczna wyczyszczona	تم مسح ذاكرة التخزين المؤقت
reindex_started	Suchindex wird neu aufgebaut	L’index de recherche va être reconstruit	L’indice di ricerca verrà ricostruito	O índice de pesquisa será reconstruído	Arama dizini yeniden oluşturulacak	Indeks wyszukiwania zostanie przebudowany	سيُعاد بناء فهرس البحث
large_library_title	Große Bibliothek laden?	Charger une grande bibliothèque ?	Caricare una libreria grande?	Carregar biblioteca grande?	Büyük kitaplık yüklensin mi?	Wczytać dużą bibliotekę?	تحميل مكتبة كبيرة؟
large_library_msg	Alles auf einmal zu laden kann bei manchen IPTV-Anbietern lange dauern. Eine Kategorie oder ein Genre ist deutlich schneller.	Tout charger en une seule fois peut prendre beaucoup de temps avec certains fournisseurs IPTV. Une catégorie ou un genre est bien plus rapide.	Caricare tutto in una volta può richiedere molto tempo con alcuni provider IPTV. Una categoria o un genere è molto più veloce.	Carregar tudo de uma vez pode demorar com alguns fornecedores IPTV. Uma categoria ou género é muito mais rápido.	Bazı IPTV sağlayıcılarında her şeyi bir kerede yüklemek uzun sürebilir. Kategori veya tür çok daha hızlıdır.	Wczytanie wszystkiego naraz może długo trwać u niektórych dostawców IPTV. Kategoria lub gatunek jest znacznie szybszy.	قد يستغرق تحميل كل شيء دفعة واحدة وقتاً طويلاً لدى بعض مزودي IPTV. اختيار فئة أو نوع أسرع بكثير.
load_anyway	Trotzdem laden	Charger quand même	Carica comunque	Carregar mesmo assim	Yine de yükle	Mimo to wczytaj	تحميل على أي حال
no_titles_selection	Keine Titel in dieser Auswahl.	Aucun titre dans cette sélection.	Nessun titolo in questa selezione.	Nenhum título nesta seleção.	Bu seçimde başlık yok.	Brak pozycji w tym wyborze.	لا توجد عناوين في هذا الاختيار.
genre_action	Action / Gewalt	Action / Violence	Azione / Violenza	Ação / Violência	Aksiyon / Şiddet	Akcja / Przemoc	أكشن / عنف
genre_thriller	Thriller	Thriller	Thriller	Suspense	Gerilim	Thriller	إثارة
genre_crime	Krimi	Policier	Crime	Crime	Suç	Kryminał	جريمة
genre_scifi	Science-Fiction	Science-fiction	Fantascienza	Ficção científica	Bilim kurgu	Science fiction	خيال علمي
genre_fantasy	Fantasy	Fantastique	Fantasy	Fantasia	Fantastik	Fantasy	فانتازيا
genre_family	Familie	Famille	Famiglia	Família	Aile	Familijny	عائلي
genre_comedy	Komödie	Comédie	Commedia	Comédia	Komedi	Komedia	كوميديا
genre_drama	Drama	Drame	Drammatico	Drama	Dram	Dramat	دراما
genre_horror	Horror	Horreur	Horror	Terror	Korku	Horror	رعب
genre_romance	Romantik	Romance	Romantico	Romance	Romantik	Romans	رومانسي
genre_documentary	Dokumentation	Documentaire	Documentario	Documentário	Belgesel	Dokumentalny	وثائقي
genre_animation	Animation	Animation	Animazione	Animação	Animasyon	Animacja	رسوم متحركة
epg_error	Fehler im TV-Programm	Erreur du guide TV	Errore guida TV	Erro no guia TV	TV rehberi hatası	Błąd programu TV	خطأ في دليل التلفاز
epg_channels_failed	Sender für das TV-Programm konnten nicht geladen werden	Impossible de charger les chaînes du guide TV	Impossibile caricare i canali della guida TV	Não foi possível carregar os canais do guia TV	TV rehberi kanalları yüklenemedi	Nie udało się wczytać kanałów programu TV	تعذر تحميل قنوات دليل التلفاز
score	Bewertung	Note	Valutazione	Pontuação	Puan	Ocena	التقييم
genre_label	Genre	Genre	Genere	Género	Tür	Gatunek	النوع
sleep_done	Sleep-Timer beendet	Minuteur de veille terminé	Timer di spegnimento terminato	Temporizador de suspensão terminado	Uyku zamanlayıcısı bitti	Minutnik uśpienia zakończony	انتهى مؤقت النوم
no_stream_url	Keine Stream-URL	Aucune URL de flux	Nessun URL dello stream	Sem URL de transmissão	Akış URL'si yok	Brak adresu URL strumienia	لا يوجد رابط للبث
playing	wird abgespielt	lecture en cours	in riproduzione	a reproduzir	oynatılıyor	odtwarzanie	قيد التشغيل
vlc_cannot_open	VLC konnte diesen Stream nicht öffnen	VLC n’a pas pu ouvrir ce flux	VLC non riesce ad aprire questo stream	O VLC não conseguiu abrir esta transmissão	VLC bu akışı açamadı	VLC nie może otworzyć tego strumienia	تعذر على VLC فتح هذا البث
connecting_vlc	Verbindung mit VLC…	Connexion à VLC…	Connessione a VLC…	A ligar ao VLC…	VLC'ye bağlanılıyor…	Łączenie z VLC…	جارٍ الاتصال بـ VLC…
other_stream	Ein anderer Stream wird versucht…	Essai d’un autre flux…	Provo un altro stream…	A tentar outra transmissão…	Başka akış deneniyor…	Próba innego strumienia…	جارٍ تجربة بث آخر…
